AF_id_code,AF_id_name,AF_id_intro,AF_id_startdate,AF_id_year,AF_id_isfour,AF_id_iseight,AF_id_officeno,AF_id_cpano,AF_id_income,consecutive
91310106086242261L,上会会计师事务所,上会会计师事务所（特殊普通合伙），创建于1981年，是由财政部试点成立的会计师事务所。具备上市公司、金融证券机构、大型企业年报、外汇专项、司法鉴定审计和高新技术企业专项审计等多项业务资质和相应的业务来源。,2013,2018,0,0,16,371,355665700,0
91310106086242261L,上会会计师事务所,上会会计师事务所（特殊普通合伙），创建于1981年，是由财政部试点成立的会计师事务所。具备上市公司、金融证券机构、大型企业年报、外汇专项、司法鉴定审计和高新技术企业专项审计等多项业务资质和相应的业务来源。,2013,2019,0,0,17,379,378145100,1
91310106086242261L,上会会计师事务所,上会会计师事务所（特殊普通合伙），创建于1981年，是由财政部试点成立的会计师事务所。具备上市公司、金融证券机构、大型企业年报、外汇专项、司法鉴定审计和高新技术企业专项审计等多项业务资质和相应的业务来源。,2013,2020,0,0,19,414,497185100,2
91310106086242261L,上会会计师事务所,上会会计师事务所（特殊普通合伙），创建于1981年，是由财政部试点成立的会计师事务所。具备上市公司、金融证券机构、大型企业年报、外汇专项、司法鉴定审计和高新技术企业专项审计等多项业务资质和相应的业务来源。,2013,2021,0,0,22,445,620110600,2
91110102082881146K,中兴华会计师事务所,"中兴华会计师事务所(特殊普通合伙)是经中华人民共和国财政部批准,由国家工商行政管理局登记注册成立的,具有独立法人资格的全国性的会计,资产评估,财税和工程咨询等专业服务机构。成立于1993年,2013年公司进行合伙制转制。转制后的事务所名称经工商行政管理局核准为“中兴华会计师事务所(特殊普通合伙)”。本所出资额3115万,从业人员近二千人.现有注册会计师631(其中北京总所164人),其中具有证券,期货相关业务资格的注册会计师132人。注册评估师87人,注册税务师56人,工程师,律师等资格的42人。",2013,2018,0,0,27,782,1091830800,0
91110102082881146K,中兴华会计师事务所,"中兴华会计师事务所(特殊普通合伙)是经中华人民共和国财政部批准,由国家工商行政管理局登记注册成立的,具有独立法人资格的全国性的会计,资产评估,财税和工程咨询等专业服务机构。成立于1993年,2013年公司进行合伙制转制。转制后的事务所名称经工商行政管理局核准为“中兴华会计师事务所(特殊普通合伙)”。本所出资额3115万,从业人员近二千人.现有注册会计师631(其中北京总所164人),其中具有证券,期货相关业务资格的注册会计师132人。注册评估师87人,注册税务师56人,工程师,律师等资格的42人。",2013,2019,0,0,27,811,1319136800,1
91110102082881146K,中兴华会计师事务所,"中兴华会计师事务所(特殊普通合伙)是经中华人民共和国财政部批准,由国家工商行政管理局登记注册成立的,具有独立法人资格的全国性的会计,资产评估,财税和工程咨询等专业服务机构。成立于1993年,2013年公司进行合伙制转制。转制后的事务所名称经工商行政管理局核准为“中兴华会计师事务所(特殊普通合伙)”。本所出资额3115万,从业人员近二千人.现有注册会计师631(其中北京总所164人),其中具有证券,期货相关业务资格的注册会计师132人。注册评估师87人,注册税务师56人,工程师,律师等资格的42人。",2013,2020,0,0,32,920,1523875799.9999998,2
91110102082881146K,中兴华会计师事务所,"中兴华会计师事务所(特殊普通合伙)是经中华人民共和国财政部批准,由国家工商行政管理局登记注册成立的,具有独立法人资格的全国性的会计,资产评估,财税和工程咨询等专业服务机构。成立于1993年,2013年公司进行合伙制转制。转制后的事务所名称经工商行政管理局核准为“中兴华会计师事务所(特殊普通合伙)”。本所出资额3115万,从业人员近二千人.现有注册会计师631(其中北京总所164人),其中具有证券,期货相关业务资格的注册会计师132人。注册评估师87人,注册税务师56人,工程师,律师等资格的42人。",2013,2021,0,0,34,793,1688139000,2
9111010208376569XD,中兴财光华会计师事务所,"中兴财光华会计师事务所(特殊普通合伙)是具有证券期货相关业务资格的专业服务机构.在财政部,证监会,中注协的正确领导和广大客户的积极支持下,业务发展迅速.以北京总部为中心,与国内知名投行,券商,基金公司建立了长期战略合作关系.公司在全国各地主要城市设有分支机构,并与中联资产评估集团有限公司,中联造价咨询有限公司,中联税务师事务所联合组成中联光华集团,为企业提供审计,税务,工程造价咨询,资产评估等综合服务,是国内具有核心竞争力的优秀中介服务机构.中兴财光华会计师事务所以做优,做大,做强,上规模,上档次,上水平为发展战略目标,坚持“以质量求信誉,以信誉促发展”的经营理念,奉行“高效优质,为客户创造价值,为社会创造效益”的服务宗旨,追求稳健务实,与国际接轨的长远发展目标.全体员工精诚团结,锐意进取,竭诚为社会各界提供优质高效服务,为我国经济发展做出积极的贡献。",1999,2018,0,0,36,961,1086290300,0
9111010208376569XD,中兴财光华会计师事务所,"中兴财光华会计师事务所(特殊普通合伙)是具有证券期货相关业务资格的专业服务机构.在财政部,证监会,中注协的正确领导和广大客户的积极支持下,业务发展迅速.以北京总部为中心,与国内知名投行,券商,基金公司建立了长期战略合作关系.公司在全国各地主要城市设有分支机构,并与中联资产评估集团有限公司,中联造价咨询有限公司,中联税务师事务所联合组成中联光华集团,为企业提供审计,税务,工程造价咨询,资产评估等综合服务,是国内具有核心竞争力的优秀中介服务机构.中兴财光华会计师事务所以做优,做大,做强,上规模,上档次,上水平为发展战略目标,坚持“以质量求信誉,以信誉促发展”的经营理念,奉行“高效优质,为客户创造价值,为社会创造效益”的服务宗旨,追求稳健务实,与国际接轨的长远发展目标.全体员工精诚团结,锐意进取,竭诚为社会各界提供优质高效服务,为我国经济发展做出积极的贡献。",1999,2019,0,0,36,988,1204967700,1
9111010208376569XD,中兴财光华会计师事务所,"中兴财光华会计师事务所(特殊普通合伙)是具有证券期货相关业务资格的专业服务机构.在财政部,证监会,中注协的正确领导和广大客户的积极支持下,业务发展迅速.以北京总部为中心,与国内知名投行,券商,基金公司建立了长期战略合作关系.公司在全国各地主要城市设有分支机构,并与中联资产评估集团有限公司,中联造价咨询有限公司,中联税务师事务所联合组成中联光华集团,为企业提供审计,税务,工程造价咨询,资产评估等综合服务,是国内具有核心竞争力的优秀中介服务机构.中兴财光华会计师事务所以做优,做大,做强,上规模,上档次,上水平为发展战略目标,坚持“以质量求信誉,以信誉促发展”的经营理念,奉行“高效优质,为客户创造价值,为社会创造效益”的服务宗旨,追求稳健务实,与国际接轨的长远发展目标.全体员工精诚团结,锐意进取,竭诚为社会各界提供优质高效服务,为我国经济发展做出积极的贡献。",1999,2020,0,0,36,969,1250198300,2
9111010208376569XD,中兴财光华会计师事务所,"中兴财光华会计师事务所(特殊普通合伙)是具有证券期货相关业务资格的专业服务机构.在财政部,证监会,中注协的正确领导和广大客户的积极支持下,业务发展迅速.以北京总部为中心,与国内知名投行,券商,基金公司建立了长期战略合作关系.公司在全国各地主要城市设有分支机构,并与中联资产评估集团有限公司,中联造价咨询有限公司,中联税务师事务所联合组成中联光华集团,为企业提供审计,税务,工程造价咨询,资产评估等综合服务,是国内具有核心竞争力的优秀中介服务机构.中兴财光华会计师事务所以做优,做大,做强,上规模,上档次,上水平为发展战略目标,坚持“以质量求信誉,以信誉促发展”的经营理念,奉行“高效优质,为客户创造价值,为社会创造效益”的服务宗旨,追求稳健务实,与国际接轨的长远发展目标.全体员工精诚团结,锐意进取,竭诚为社会各界提供优质高效服务,为我国经济发展做出积极的贡献。",1999,2021,0,0,35,793,1318700300,2
91110108082889906D,中准会计师事务所,"中准会计师事务所(特殊普通合伙)原名中准会计师事务所有限公司,1996年3月由财政部批准设立,总部设在北京市海淀区首体南路22号楼4层。业务范围涵盖注册会计师法规定的全部业务。",2013,2018,0,0,16,438,222080800.00000003,0
91110108082889906D,中准会计师事务所,"中准会计师事务所(特殊普通合伙)原名中准会计师事务所有限公司,1996年3月由财政部批准设立,总部设在北京市海淀区首体南路22号楼4层。业务范围涵盖注册会计师法规定的全部业务。",2013,2019,0,0,16,417,243449900.00000003,1
91110108082889906D,中准会计师事务所,"中准会计师事务所(特殊普通合伙)原名中准会计师事务所有限公司,1996年3月由财政部批准设立,总部设在北京市海淀区首体南路22号楼4层。业务范围涵盖注册会计师法规定的全部业务。",2013,2020,0,0,16,409,214550600,2
91110108082889906D,中准会计师事务所,"中准会计师事务所(特殊普通合伙)原名中准会计师事务所有限公司,1996年3月由财政部批准设立,总部设在北京市海淀区首体南路22号楼4层。业务范围涵盖注册会计师法规定的全部业务。",2013,2021,0,0,16,268,200476900,2
91110102089698790Q,中勤万信会计师事务所,中勤万信会计师事务所（特殊普通合伙）拥有一批具备财务、会计、审计、税务、金融、管理咨询等方面知识和经验的专业人员，具有证券期货相关业务审计、国有特大型企业审计、首批金融相关业务审计等特许资质，为国内规模较大、资质较全的事务所之一。,2013,2018,0,0,16,488,360836500,0
91110102089698790Q,中勤万信会计师事务所,中勤万信会计师事务所（特殊普通合伙）拥有一批具备财务、会计、审计、税务、金融、管理咨询等方面知识和经验的专业人员，具有证券期货相关业务审计、国有特大型企业审计、首批金融相关业务审计等特许资质，为国内规模较大、资质较全的事务所之一。,2013,2019,0,0,16,478,367147200,1
91110102089698790Q,中勤万信会计师事务所,中勤万信会计师事务所（特殊普通合伙）拥有一批具备财务、会计、审计、税务、金融、管理咨询等方面知识和经验的专业人员，具有证券期货相关业务审计、国有特大型企业审计、首批金融相关业务审计等特许资质，为国内规模较大、资质较全的事务所之一。,2013,2020,0,0,16,466,388037900,2
91110102089698790Q,中勤万信会计师事务所,中勤万信会计师事务所（特殊普通合伙）拥有一批具备财务、会计、审计、税务、金融、管理咨询等方面知识和经验的专业人员，具有证券期货相关业务审计、国有特大型企业审计、首批金融相关业务审计等特许资质，为国内规模较大、资质较全的事务所之一。,2013,2021,0,0,16,358,407439700,2
9111010108553078XF,中喜会计师事务所,中喜会计师事务所(特殊普通合伙)总部位于北京市东城区崇文门外大街11号新成文化大厦A座11层，设有合伙人办公室、行政事务部、人力资源部、业务发展部、质量控制部。总部直属业务部门11个，目前下设石家庄、邯郸、山西、深圳、广东、山东、上海、河南、天津、安徽、大连、四川等12个分所，目前筹建湖南、湖北、无锡分所。,2013,2018,0,0,20,401,239077500,0
9111010108553078XF,中喜会计师事务所,中喜会计师事务所(特殊普通合伙)总部位于北京市东城区崇文门外大街11号新成文化大厦A座11层，设有合伙人办公室、行政事务部、人力资源部、业务发展部、质量控制部。总部直属业务部门11个，目前下设石家庄、邯郸、山西、深圳、广东、山东、上海、河南、天津、安徽、大连、四川等12个分所，目前筹建湖南、湖北、无锡分所。,2013,2019,0,0,23,445,284101900,1
9111010108553078XF,中喜会计师事务所,中喜会计师事务所(特殊普通合伙)总部位于北京市东城区崇文门外大街11号新成文化大厦A座11层，设有合伙人办公室、行政事务部、人力资源部、业务发展部、质量控制部。总部直属业务部门11个，目前下设石家庄、邯郸、山西、深圳、广东、山东、上海、河南、天津、安徽、大连、四川等12个分所，目前筹建湖南、湖北、无锡分所。,2013,2020,0,0,23,452,309452600,2
9111010108553078XF,中喜会计师事务所,中喜会计师事务所(特殊普通合伙)总部位于北京市东城区崇文门外大街11号新成文化大厦A座11层，设有合伙人办公室、行政事务部、人力资源部、业务发展部、质量控制部。总部直属业务部门11个，目前下设石家庄、邯郸、山西、深圳、广东、山东、上海、河南、天津、安徽、大连、四川等12个分所，目前筹建湖南、湖北、无锡分所。,2013,2021,0,0,26,355,314135600,2
91110102089661664J,中天运会计师事务所,中天运会计师事务所（特殊普通合伙）拥有健全的执业资格和资质，包括证券、期货相关业务审计资质、军工涉密业务咨询服务安全保密资格、中国银行间市场交易商协会会员资格等。中天运为了更好地为“走出去”的中国企业提供国际化境外审阅及咨询服务，陆续派出一批批熟悉国际业务的专业人士，远赴非洲、澳洲、南美洲和欧洲执业，获得了客户的广泛好评。,2013,2018,0,0,24,685,679670000,0
91110102089661664J,中天运会计师事务所,中天运会计师事务所（特殊普通合伙）拥有健全的执业资格和资质，包括证券、期货相关业务审计资质、军工涉密业务咨询服务安全保密资格、中国银行间市场交易商协会会员资格等。中天运为了更好地为“走出去”的中国企业提供国际化境外审阅及咨询服务，陆续派出一批批熟悉国际业务的专业人士，远赴非洲、澳洲、南美洲和欧洲执业，获得了客户的广泛好评。,2013,2019,0,0,24,688,640969700,1
91110102089661664J,中天运会计师事务所,中天运会计师事务所（特殊普通合伙）拥有健全的执业资格和资质，包括证券、期货相关业务审计资质、军工涉密业务咨询服务安全保密资格、中国银行间市场交易商协会会员资格等。中天运为了更好地为“走出去”的中国企业提供国际化境外审阅及咨询服务，陆续派出一批批熟悉国际业务的专业人士，远赴非洲、澳洲、南美洲和欧洲执业，获得了客户的广泛好评。,2013,2020,0,0,24,697,783224900,2
91110102089661664J,中天运会计师事务所,中天运会计师事务所（特殊普通合伙）拥有健全的执业资格和资质，包括证券、期货相关业务审计资质、军工涉密业务咨询服务安全保密资格、中国银行间市场交易商协会会员资格等。中天运为了更好地为“走出去”的中国企业提供国际化境外审阅及咨询服务，陆续派出一批批熟悉国际业务的专业人士，远赴非洲、澳洲、南美洲和欧洲执业，获得了客户的广泛好评。,2013,2021,0,0,24,490,747079400,2
91110108061301173Y,中审亚太会计师事务所,中审亚太会计师事务所（特殊普通合伙）一直将为国有企业尤其是中央企业和部委企业以及证券期货金融等的审计工作作为其主要业务之一和特色业务之一，组织和开展了大量的该项工作，包括承担和参与国务院国资委、审计署等国家有关部委和中央企业等单位委托的多种审计和咨询，积累了比较丰富的工作经验。,2013,2018,0,0,18,384,372055600,0
91110108061301173Y,中审亚太会计师事务所,中审亚太会计师事务所（特殊普通合伙）一直将为国有企业尤其是中央企业和部委企业以及证券期货金融等的审计工作作为其主要业务之一和特色业务之一，组织和开展了大量的该项工作，包括承担和参与国务院国资委、审计署等国家有关部委和中央企业等单位委托的多种审计和咨询，积累了比较丰富的工作经验。,2013,2019,0,0,19,406,363171200,1
91110108061301173Y,中审亚太会计师事务所,中审亚太会计师事务所（特殊普通合伙）一直将为国有企业尤其是中央企业和部委企业以及证券期货金融等的审计工作作为其主要业务之一和特色业务之一，组织和开展了大量的该项工作，包括承担和参与国务院国资委、审计署等国家有关部委和中央企业等单位委托的多种审计和咨询，积累了比较丰富的工作经验。,2013,2020,0,0,23,468,463517600,2
91110108061301173Y,中审亚太会计师事务所,中审亚太会计师事务所（特殊普通合伙）一直将为国有企业尤其是中央企业和部委企业以及证券期货金融等的审计工作作为其主要业务之一和特色业务之一，组织和开展了大量的该项工作，包括承担和参与国务院国资委、审计署等国家有关部委和中央企业等单位委托的多种审计和咨询，积累了比较丰富的工作经验。,2013,2021,0,0,26,404,589510100,2
91420106081978608B,中审众环会计师事务所,中审众环会计师事务所（特殊普通合伙）是“中国品牌会计师事务所前十强”，“中国上市公司雇主最佳审计机构前十强”事务所。中审众环成立于1987年，拥有一批行业内外具有重大影响力的技术专家和一支高水平经营管理团队。截至2021年6月，中审众环在中国大陆共建有总分所38家，事务所已与知名国际会计公司联合，进入国际化发展阶段，境外机构遍及美国、英国、法国、德国、澳洲、中国香港、新加坡等地。,2013,2018,0,0,29,1166,1162600000,0
91420106081978608B,中审众环会计师事务所,中审众环会计师事务所（特殊普通合伙）是“中国品牌会计师事务所前十强”，“中国上市公司雇主最佳审计机构前十强”事务所。中审众环成立于1987年，拥有一批行业内外具有重大影响力的技术专家和一支高水平经营管理团队。截至2021年6月，中审众环在中国大陆共建有总分所38家，事务所已与知名国际会计公司联合，进入国际化发展阶段，境外机构遍及美国、英国、法国、德国、澳洲、中国香港、新加坡等地。,2013,2019,0,0,34,1351,1471973599.9999998,1
91420106081978608B,中审众环会计师事务所,中审众环会计师事务所（特殊普通合伙）是“中国品牌会计师事务所前十强”，“中国上市公司雇主最佳审计机构前十强”事务所。中审众环成立于1987年，拥有一批行业内外具有重大影响力的技术专家和一支高水平经营管理团队。截至2021年6月，中审众环在中国大陆共建有总分所38家，事务所已与知名国际会计公司联合，进入国际化发展阶段，境外机构遍及美国、英国、法国、德国、澳洲、中国香港、新加坡等地。,2013,2020,0,0,36,1537,1946473900.0000002,2
91420106081978608B,中审众环会计师事务所,中审众环会计师事务所（特殊普通合伙）是“中国品牌会计师事务所前十强”，“中国上市公司雇主最佳审计机构前十强”事务所。中审众环成立于1987年，拥有一批行业内外具有重大影响力的技术专家和一支高水平经营管理团队。截至2021年6月，中审众环在中国大陆共建有总分所38家，事务所已与知名国际会计公司联合，进入国际化发展阶段，境外机构遍及美国、英国、法国、德国、澳洲、中国香港、新加坡等地。,2013,2021,0,0,37,1292,2169391700,2
911201166688390414,中审华会计师事务所,中审华会计师事务所（特殊普通合伙）是中国知名的大型专业服务机构之一，是HLB浩信国际会计网络之中国成员机构。中审华寅五洲会计师事务所（特殊普通合伙）系由华寅五洲会计师事务所（特殊普通合伙）与中审国际会计师事务所有限公司于2013年11月重组而成，重组方式为以华寅五洲为母体吸收中审国际北京总所及部分分所的专业人员与业务，机构重组后，事务所更名为中审华寅五洲会计师事务所（特殊普通合伙），注册资本为1710万元，管理总部设在北京。 中审华寅五洲是伴随我国市场经济的发展而成长起来的，其前身在事务所脱钩改制前分别隶属于审计署、天津市财政局，是我国恢复注册会计师制度后成立最早、并且最早取得证券期货审计资质的会计师事务所之一，在近三十年的执业生涯中，事务所以其较高的执业水准和良好的服务意识，赢得了业内外的赞誉。重组后的中审华寅五洲将秉承持续超越自我、追求卓越品质的经营理念，在新的发展起点上，以其专业精神、专业品质和独特的服务为客户创造价值，与客户共同发展。,2000,2018,0,0,18,738,616011900,0
911201166688390414,中审华会计师事务所,中审华会计师事务所（特殊普通合伙）是中国知名的大型专业服务机构之一，是HLB浩信国际会计网络之中国成员机构。中审华寅五洲会计师事务所（特殊普通合伙）系由华寅五洲会计师事务所（特殊普通合伙）与中审国际会计师事务所有限公司于2013年11月重组而成，重组方式为以华寅五洲为母体吸收中审国际北京总所及部分分所的专业人员与业务，机构重组后，事务所更名为中审华寅五洲会计师事务所（特殊普通合伙），注册资本为1710万元，管理总部设在北京。 中审华寅五洲是伴随我国市场经济的发展而成长起来的，其前身在事务所脱钩改制前分别隶属于审计署、天津市财政局，是我国恢复注册会计师制度后成立最早、并且最早取得证券期货审计资质的会计师事务所之一，在近三十年的执业生涯中，事务所以其较高的执业水准和良好的服务意识，赢得了业内外的赞誉。重组后的中审华寅五洲将秉承持续超越自我、追求卓越品质的经营理念，在新的发展起点上，以其专业精神、专业品质和独特的服务为客户创造价值，与客户共同发展。,2000,2019,0,0,18,735,744593500,1
911201166688390414,中审华会计师事务所,中审华会计师事务所（特殊普通合伙）是中国知名的大型专业服务机构之一，是HLB浩信国际会计网络之中国成员机构。中审华寅五洲会计师事务所（特殊普通合伙）系由华寅五洲会计师事务所（特殊普通合伙）与中审国际会计师事务所有限公司于2013年11月重组而成，重组方式为以华寅五洲为母体吸收中审国际北京总所及部分分所的专业人员与业务，机构重组后，事务所更名为中审华寅五洲会计师事务所（特殊普通合伙），注册资本为1710万元，管理总部设在北京。 中审华寅五洲是伴随我国市场经济的发展而成长起来的，其前身在事务所脱钩改制前分别隶属于审计署、天津市财政局，是我国恢复注册会计师制度后成立最早、并且最早取得证券期货审计资质的会计师事务所之一，在近三十年的执业生涯中，事务所以其较高的执业水准和良好的服务意识，赢得了业内外的赞誉。重组后的中审华寅五洲将秉承持续超越自我、追求卓越品质的经营理念，在新的发展起点上，以其专业精神、专业品质和独特的服务为客户创造价值，与客户共同发展。,2000,2020,0,0,21,759,812280900,2
911201166688390414,中审华会计师事务所,中审华会计师事务所（特殊普通合伙）是中国知名的大型专业服务机构之一，是HLB浩信国际会计网络之中国成员机构。中审华寅五洲会计师事务所（特殊普通合伙）系由华寅五洲会计师事务所（特殊普通合伙）与中审国际会计师事务所有限公司于2013年11月重组而成，重组方式为以华寅五洲为母体吸收中审国际北京总所及部分分所的专业人员与业务，机构重组后，事务所更名为中审华寅五洲会计师事务所（特殊普通合伙），注册资本为1710万元，管理总部设在北京。 中审华寅五洲是伴随我国市场经济的发展而成长起来的，其前身在事务所脱钩改制前分别隶属于审计署、天津市财政局，是我国恢复注册会计师制度后成立最早、并且最早取得证券期货审计资质的会计师事务所之一，在近三十年的执业生涯中，事务所以其较高的执业水准和良好的服务意识，赢得了业内外的赞誉。重组后的中审华寅五洲将秉承持续超越自我、追求卓越品质的经营理念，在新的发展起点上，以其专业精神、专业品质和独特的服务为客户创造价值，与客户共同发展。,2000,2021,0,0,21,541,832188600,2
91330000087374063A,中汇会计师事务所,中汇会计师事务所（特殊普通合伙）成立于1992年，经过20多年的探索和积累，成为具有财政部、证监会批准的从事证券、期货相关业务许可证资格，以及具有国家税务总局批准的从事税务鉴证、税务服务资格的大型综合性专业服务机构，由中汇会计师事务所（特殊普通合伙）、中汇税务师事务所有限公司、天源资产评估有限公司、中汇工程咨询有限公司、中汇管理咨询有限公司等组成。中汇是全球知名会计网络——克瑞斯顿国际（krestoninternational）的成员所之一。,2013,2018,0,0,9,513,573802900,0
91330000087374063A,中汇会计师事务所,中汇会计师事务所（特殊普通合伙）成立于1992年，经过20多年的探索和积累，成为具有财政部、证监会批准的从事证券、期货相关业务许可证资格，以及具有国家税务总局批准的从事税务鉴证、税务服务资格的大型综合性专业服务机构，由中汇会计师事务所（特殊普通合伙）、中汇税务师事务所有限公司、天源资产评估有限公司、中汇工程咨询有限公司、中汇管理咨询有限公司等组成。中汇是全球知名会计网络——克瑞斯顿国际（krestoninternational）的成员所之一。,2013,2019,0,0,10,580,635933200,1
91330000087374063A,中汇会计师事务所,中汇会计师事务所（特殊普通合伙）成立于1992年，经过20多年的探索和积累，成为具有财政部、证监会批准的从事证券、期货相关业务许可证资格，以及具有国家税务总局批准的从事税务鉴证、税务服务资格的大型综合性专业服务机构，由中汇会计师事务所（特殊普通合伙）、中汇税务师事务所有限公司、天源资产评估有限公司、中汇工程咨询有限公司、中汇管理咨询有限公司等组成。中汇是全球知名会计网络——克瑞斯顿国际（krestoninternational）的成员所之一。,2013,2020,0,0,11,665,734246400,2
91330000087374063A,中汇会计师事务所,中汇会计师事务所（特殊普通合伙）成立于1992年，经过20多年的探索和积累，成为具有财政部、证监会批准的从事证券、期货相关业务许可证资格，以及具有国家税务总局批准的从事税务鉴证、税务服务资格的大型综合性专业服务机构，由中汇会计师事务所（特殊普通合伙）、中汇税务师事务所有限公司、天源资产评估有限公司、中汇工程咨询有限公司、中汇管理咨询有限公司等组成。中汇是全球知名会计网络——克瑞斯顿国际（krestoninternational）的成员所之一。,2013,2021,0,0,11,557,953701500,2
91110102MA01NKWE6R,中瑞诚会计师事务所,中瑞诚会计师事务所（特殊普通合伙）【以下简称“中瑞诚” 】创立于1997年12月，是北京市首家合伙制会计师事务所。经二十五年发展，已成为全国性大中型综合专业服务机构，自2003年起连续入选中国注册会计师协会综合评价全国百强事务所。 中瑞诚总部位于北京，自2003年开始在全国范围内建立服务网络，覆盖全国。同时在中国香港设有成员所，在匈牙利、美国、智利也设立了境外合作机构。通过加入AGN等国际会计联盟，中瑞诚的业务范围已经覆盖“一带一路”沿线国家和地区。 中瑞诚具备军工涉密资质、金融企业审计资质、司法会计鉴定资质。2020年底，完成证监会和财政部双备案，取得从事证券服务业务资格，开始承接资本市场年报审计业务。 中瑞诚秉承“允中允诚、至瑞至信”的核心理念，遵守“清准则重操守中正执业，真规矩凭匠心诚信为人”的所训，坚持“以行业法律法规为准绳，以专业胜任能力为前提，以高效优质服务为目标”，为客户提供审计、审阅、鉴证、税务、咨询、培训、工程服务、财务外包等各类专业服务。 凭借高素质的团队和高品质的服务，中瑞诚拥有良好的执业记录，成立至今从未因执业质量受到任何行政部门与主管行业协会的处罚。,2019,2021,0,0,25,201,265515200,0
91440101MA9UN3YT81,广东中职信会计师事务所,中职信创立于2008年11月。2020年11月成为首批在财政部、证监会备案46家从事证券业务会计师事务所之一、中国银行间交易商协会会员。在东莞、佛山、郑州、海口设立有分所。现有从业人员300多人，其中注册会计师90多人，全国及省级领军人才11人，税务师50人，博士1人，硕士研究生28人。中职信成立14年来，坚持诚信经营、坚持一体化管理、坚持专业取胜、坚持服务取胜、坚持“三个不做”、坚持智能审计、坚持廉洁审计、坚持创新发展。认真学习、科学实践，在服务中赢得社会尊重，在为社会创造价值的同时实现自身成长。自2016年起连续5年入选《全国会计师事务所综合评价前百家信息》；2020年发布全国综合排名50强；2021年被中注协评为《全国先进会计师事务所党组织》单位； 2022年作为全国唯一一家被共青团中央授予“优秀团支部”和“优秀团员”的双红机构。主要服务领域集中在广东区域内的央企、省市区国有企业和行政事业单位。中职信协助企事业单位开展提高治理、防范风险、降低成本的审计咨询工作，重点关注政策合规、业务合规、流程合规及税收成本、建设成本、资金成本、IT运行等成本的控制，助力客户提高效益和效率。,2020,2021,0,0,4,93,146661500,0
